record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,Agra,buy,Laramda,Villa,"₹3,572","₹2,535","₹5,401",9,https://housing.com/in/buy/agra/laramda-gid/,yes,4627,3572,4091,3920,"[[""Apr'25-Jun'25"", 4627], [""July'25-Sept'25"", 4091], [""Oct'25-Dec'25"", 3920], [""Jan'26-Mar'26"", 3572]]"
locality,Agra,buy,Kalwari,Villa,"₹5,629","₹4,633","₹9,090",5,https://housing.com/in/buy/agra/kalwari-gid/,yes,,5629,,4741,"[[""Oct'25-Dec'25"", 4741], [""Jan'26-Mar'26"", 5629]]"
locality,Agra,buy,Pathauli Village,Villa,"₹3,423","₹3,120","₹4,222",5,https://housing.com/in/buy/agra/pathauli-village-gid/,yes,3530,3423,3460,3605,"[[""Apr'25-Jun'25"", 3530], [""July'25-Sept'25"", 3460], [""Oct'25-Dec'25"", 3605], [""Jan'26-Mar'26"", 3423]]"
locality,Agra,buy,Fatehabad,Villa,"₹4,574","₹3,840","₹5,505",4,https://housing.com/in/buy/agra/fatehabad-gid/,yes,4912,4574,4152,4489,"[[""Apr'25-Jun'25"", 4912], [""July'25-Sept'25"", 4152], [""Oct'25-Dec'25"", 4489], [""Jan'26-Mar'26"", 4574]]"
locality,Agra,buy,Tajganj,Villa,"₹5,091","₹3,658","₹7,000",4,https://housing.com/in/buy/agra/tajganj-gid/,yes,6648,5091,7195,5792,"[[""Apr'25-Jun'25"", 6648], [""July'25-Sept'25"", 7195], [""Oct'25-Dec'25"", 5792], [""Jan'26-Mar'26"", 5091]]"
locality,Agra,buy,Bad,Villa,"₹3,862","₹3,543","₹4,204",3,https://housing.com/in/buy/agra/bad-gid/,no,,,,,null
locality,Agra,buy,Village Rajrai,Villa,"₹4,052","₹3,333","₹4,621",3,https://housing.com/in/buy/agra/village-rajrai-gid/,yes,,4052,,4189,"[[""Oct'25-Dec'25"", 4189], [""Jan'26-Mar'26"", 4052]]"
locality,Agra,buy,Dayal Bagh,Villa,"₹6,609","₹3,658","₹10,666",3,https://housing.com/in/buy/agra/dayal-bagh-gid/,yes,5282,6609,5489,6012,"[[""Apr'25-Jun'25"", 5282], [""July'25-Sept'25"", 5489], [""Oct'25-Dec'25"", 6012], [""Jan'26-Mar'26"", 6609]]"
locality,Agra,buy,Budhera,Villa,"₹7,276","₹4,750","₹11,574",3,https://housing.com/in/buy/agra/budhera-gid/,no,,,,,null
locality,Agra,buy,Sikandra,Villa,"₹5,609","₹4,166","₹6,166",2,https://housing.com/in/buy/agra/sikandra-gid/,yes,5077,5609,5780,5720,"[[""Apr'25-Jun'25"", 5077], [""July'25-Sept'25"", 5780], [""Oct'25-Dec'25"", 5720], [""Jan'26-Mar'26"", 5609]]"
locality,Agra,buy,Khandari,Villa,"₹13,863","₹5,505","₹22,222",2,https://housing.com/in/buy/agra/khandari-gid/,yes,18404,13863,14586,12831,"[[""Apr'25-Jun'25"", 18404], [""July'25-Sept'25"", 14586], [""Oct'25-Dec'25"", 12831], [""Jan'26-Mar'26"", 13863]]"
locality,Agra,buy,Civil Lines,Villa,"₹12,474","₹5,505","₹19,444",2,https://housing.com/in/buy/agra/civil-lines-gid/,no,,,,,null
locality,Agra,buy,Defence Colony,Villa,"₹4,262","₹4,204","₹4,320",2,https://housing.com/in/buy/agra/defence-colony-gid/,no,,,,,null
