record_type,city,product,locality_name,property_type,avg_price_per_sqft,min_price,max_price,total_listings,locality_url,has_trend_data,trend_Apr'25-Jun'25,trend_Jan'26-Mar'26,trend_July'25-Sept'25,trend_Oct'25-Dec'25,trend_raw
locality,New Delhi,rent,Shahdara,3 BHK,"₹21,666","₹11,000","₹45,000",6,https://housing.com/rent/flats-for-rent-in-shahdara-new-delhi-P4woffe5xui517tia,yes,26636,21666,22107,24142,"[[""Apr'25-Jun'25"", 26636], [""July'25-Sept'25"", 22107], [""Oct'25-Dec'25"", 24142], [""Jan'26-Mar'26"", 21666]]"
locality,New Delhi,rent,Sector 23B Dwarka,3 BHK,"₹44,200","₹22,000","₹100,000",5,https://housing.com/rent/flats-for-rent-in-sector-23b-dwarka-new-delhi-P3q2wn1q3mkz2ukhv,yes,26740,44200,32099,38821,"[[""Apr'25-Jun'25"", 26740], [""July'25-Sept'25"", 32099], [""Oct'25-Dec'25"", 38821], [""Jan'26-Mar'26"", 44200]]"
locality,New Delhi,rent,Matiala,3 BHK,"₹25,000","₹15,000","₹36,500",5,https://housing.com/rent/flats-for-rent-in-matiala-new-delhi-Pcixw66jt6j42q6w,yes,18427,25000,21493,25822,"[[""Apr'25-Jun'25"", 18427], [""July'25-Sept'25"", 21493], [""Oct'25-Dec'25"", 25822], [""Jan'26-Mar'26"", 25000]]"
locality,New Delhi,rent,Moti Nagar,3 BHK,"₹69,200","₹25,000",₹1 Lakh,5,https://housing.com/rent/flats-for-rent-in-moti-nagar-new-delhi-Pev8cwqi7vkd0suq,yes,74328,69200,66814,76285,"[[""Apr'25-Jun'25"", 74328], [""July'25-Sept'25"", 66814], [""Oct'25-Dec'25"", 76285], [""Jan'26-Mar'26"", 69200]]"
locality,New Delhi,rent,Sector 28 Dwarka,3 BHK,"₹24,100","₹17,000","₹40,000",5,https://housing.com/rent/flats-for-rent-in-sector-28-dwarka-new-delhi-P5yeb4omabueittzb,no,,,,,null
locality,New Delhi,rent,Kamla Nagar,3 BHK,"₹49,400","₹35,000","₹65,000",5,https://housing.com/rent/flats-for-rent-in-kamla-nagar-new-delhi-P5jl6ctr2ppbx05r1,yes,45399,49400,41479,47800,"[[""Apr'25-Jun'25"", 45399], [""July'25-Sept'25"", 41479], [""Oct'25-Dec'25"", 47800], [""Jan'26-Mar'26"", 49400]]"
locality,New Delhi,rent,Chanakyapuri,3 BHK,₹5 Lakh,₹3 Lakh,₹10 Lakh,5,https://housing.com/rent/flats-for-rent-in-chanakyapuri-new-delhi-P31ponulkm2bm33c2,yes,337500,540000,409999,432777,"[[""Apr'25-Jun'25"", 337500], [""July'25-Sept'25"", 409999], [""Oct'25-Dec'25"", 432777], [""Jan'26-Mar'26"", 540000]]"
locality,New Delhi,rent,Sector 15 Rohini,3 BHK,"₹35,000","₹28,000","₹45,000",5,https://housing.com/rent/flats-for-rent-in-sector-15-rohini-new-delhi-Pjfd1rj6gtltqsz9,yes,30166,35000,30333,33833,"[[""Apr'25-Jun'25"", 30166], [""July'25-Sept'25"", 30333], [""Oct'25-Dec'25"", 33833], [""Jan'26-Mar'26"", 35000]]"
locality,New Delhi,rent,Okhla Industrial Area,1 BHK,"₹11,333","₹7,000","₹14,000",3,https://housing.com/rent/flats-for-rent-in-okhla-industrial-area-new-delhi-P2a2dezuq1feab38n,yes,7499,11333,6827,9437,"[[""Apr'25-Jun'25"", 7499], [""July'25-Sept'25"", 6827], [""Oct'25-Dec'25"", 9437], [""Jan'26-Mar'26"", 11333]]"
locality,New Delhi,rent,Shadipur,1 BHK,"₹11,333","₹5,000","₹15,000",3,https://housing.com/rent/flats-for-rent-in-shadipur-new-delhi-P64pny3kqfktdigeu,yes,8666,11333,8908,11000,"[[""Apr'25-Jun'25"", 8666], [""July'25-Sept'25"", 8908], [""Oct'25-Dec'25"", 11000], [""Jan'26-Mar'26"", 11333]]"
locality,New Delhi,rent,Sector 19 Rohini,1 BHK,"₹8,666","₹6,000","₹10,000",3,https://housing.com/rent/flats-for-rent-in-sector-19-rohini-new-delhi-P173jfeidpmzh52o9,yes,,8750,,6642,"[[""Oct'25-Dec'25"", 6642], [""Jan'26-Mar'26"", 8750]]"
locality,New Delhi,rent,Greater Kailash II,1 BHK,"₹51,666","₹40,000","₹60,000",3,https://housing.com/rent/flats-for-rent-in-greater-kailash-ii-new-delhi-P944ybjn80ihpayh,yes,34250,51666,40832,39249,"[[""Apr'25-Jun'25"", 34250], [""July'25-Sept'25"", 40832], [""Oct'25-Dec'25"", 39249], [""Jan'26-Mar'26"", 51666]]"
locality,New Delhi,rent,Safdarjung Development Area,1 BHK,"₹46,666","₹40,000","₹55,000",3,https://housing.com/rent/flats-for-rent-in-safdarjung-development-area-new-delhi-P4vi4sj16iaj8naow,yes,42856,46666,47408,44333,"[[""Apr'25-Jun'25"", 42856], [""July'25-Sept'25"", 47408], [""Oct'25-Dec'25"", 44333], [""Jan'26-Mar'26"", 46666]]"
