city_name,city_page_url,price_trend_url
arwal,https://housing.com/in/buy/real-estate-arwal,https://housing.com/price-trends/property-rates-for-buy-in-arwal_bihar-P1lilwb64bstchqsr
asansol,https://housing.com/in/buy/real-estate-asansol,https://housing.com/price-trends/property-rates-for-buy-in-asansol_west_bengal-Pvg8wnafgg8e66nf
ashoknagar,https://housing.com/in/buy/real-estate-ashoknagar,https://housing.com/price-trends/property-rates-for-buy-in-ashoknagar_madhya_pradesh-P3xcp5g6brurl2it5
auraiya,https://housing.com/in/buy/real-estate-auraiya,https://housing.com/price-trends/property-rates-for-buy-in-auraiya_uttar_pradesh-P4fs24ubrnkyh8omb
aurangabad_maharashtra,https://housing.com/in/buy/real-estate-aurangabad_maharashtra,https://housing.com/price-trends/property-rates-for-buy-in-aurangabad_maharashtra-P120glnkh721t9hwl
aurangabad_bihar,https://housing.com/in/buy/real-estate-aurangabad_bihar,https://housing.com/price-trends/property-rates-for-buy-in-aurangabad_bihar_bihar-Pj1z5bd84v2bqwkr
ayodhya_1,https://housing.com/in/buy/real-estate-ayodhya_1,https://housing.com/price-trends/property-rates-for-buy-in-ayodhya_uttar_pradesh-Pejzwf4r1ddws6vw
azamgarh,https://housing.com/in/buy/real-estate-azamgarh,https://housing.com/price-trends/property-rates-for-buy-in-azamgarh_uttar_pradesh-P5s71tfn8enafmf82
baddi,https://housing.com/in/buy/real-estate-baddi,https://housing.com/price-trends/property-rates-for-buy-in-baddi_himachal_pradesh-P5iooyh6c60udhr7n
badgam,https://housing.com/in/buy/real-estate-badgam,https://housing.com/price-trends/property-rates-for-buy-in-badgam_jammu_and_kashmir-P70aqfodohv5aw890
bagalkot,https://housing.com/in/buy/real-estate-bagalkot,https://housing.com/price-trends/property-rates-for-buy-in-bagalkot_karnataka-P5pg8c1x6ug5cmczh
bageshwar,https://housing.com/in/buy/real-estate-bageshwar,https://housing.com/price-trends/property-rates-for-buy-in-bageshwar_uttarakhand-P1wql6gf5j2kbgdtd
baghpat,https://housing.com/in/buy/real-estate-baghpat,https://housing.com/price-trends/property-rates-for-buy-in-baghpat_uttar_pradesh-P3irh678et08yzslw
